kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
2;5;5;105;645;2;"[7,10]";"[9,21]";"[429,645]";"[645,645]";0.00;0.00
2;5;5;577;2847;2;"[7,293]";"[9,1119]";"[1355,2847]";"[2847,2847]";0.00;0.00
2;5;5;64;89;2;"[7,9]";"[10,14]";"[54,89]";"[89,89]";0.00;0.00
2;5;5;5;10;1;"[7]";"[9]";"[10]";"[10]";0.00;0.00
2;5;5;321;1200;2;"[7,206]";"[9,1004]";"[603,1200]";"[1200,1200]";0.00;0.00
2;5;5;75;575;2;"[7,54]";"[9,150]";"[434,575]";"[575,575]";0.00;0.00
2;5;5;14;45;2;"[7,10]";"[10,19]";"[45,45]";"[49,45]";0.00;0.00
2;5;5;63;4320;1;"[7]";"[10]";"[4320]";"[4320]";0.00;0.00
2;5;5;38;5254;2;"[7,30]";"[8,53]";"[5182,5254]";"[5254,5254]";0.00;0.00
2;5;5;18;723;2;"[7,18]";"[9,31]";"[483,723]";"[723,723]";0.00;0.00
2;5;5;26;135;2;"[7,20]";"[9,35]";"[72,135]";"[135,135]";0.00;0.00
2;5;5;79;176;2;"[7,11]";"[9,17]";"[98,176]";"[176,176]";0.00;0.00
2;5;5;38;7680;2;"[7,36]";"[9,96]";"[5824,7680]";"[7680,7680]";0.00;0.00
2;5;5;173;652;2;"[7,104]";"[8,222]";"[303,652]";"[664,652]";0.00;0.00
2;5;5;154;386;2;"[7,155]";"[9,298]";"[288,386]";"[386,386]";0.00;0.00
2;5;5;38;958;2;"[7,10]";"[9,18]";"[778,958]";"[958,958]";0.00;0.00
2;5;5;33;102;2;"[7,32]";"[8,58]";"[50,102]";"[102,102]";0.00;0.00
2;5;5;16;124;2;"[7,14]";"[8,29]";"[84,124]";"[124,124]";0.00;0.00
2;5;5;56;411;2;"[7,54]";"[9,123]";"[186,411]";"[411,411]";0.00;0.00
2;5;5;23;96;2;"[7,17]";"[9,27]";"[54,96]";"[96,96]";0.00;0.00
2;5;5;79;1305;2;"[7,17]";"[9,34]";"[702,1305]";"[1305,1305]";0.00;0.00
2;5;5;64;404;2;"[7,29]";"[9,55]";"[239,404]";"[404,404]";0.00;0.00
2;5;5;15;57;2;"[7,8]";"[10,13]";"[45,57]";"[57,57]";0.00;0.00
2;5;5;291;1448;2;"[7,293]";"[9,581]";"[1443,1448]";"[1448,1448]";0.00;0.00
2;5;5;26;101;2;"[7,9]";"[10,14]";"[44,101]";"[101,101]";0.00;0.00
2;5;5;9;300;2;"[7,9]";"[9,13]";"[269,300]";"[300,300]";0.00;0.00
2;5;5;15;116;2;"[7,10]";"[8,14]";"[100,116]";"[116,116]";0.00;0.00
2;5;5;476;1509;2;"[7,305]";"[9,629]";"[757,1509]";"[1509,1509]";0.00;0.00
2;5;5;10;29;2;"[7,12]";"[8,23]";"[24,29]";"[29,29]";0.00;0.00
2;5;5;441;3240;3;"[7,369,372]";"[9,732,738]";"[1800,3240,3240]";"[3242,3240,3240]";0.00;0.00
2;5;5;21;22;2;"[7,9]";"[8,12]";"[12,22]";"[22,22]";0.00;0.00
2;5;5;9;39;2;"[7,11]";"[9,17]";"[31,39]";"[39,39]";0.00;0.00
2;5;5;375;1323;2;"[7,79]";"[9,164]";"[864,1323]";"[1323,1323]";0.00;0.00
2;5;5;149;1241;2;"[7,56]";"[7,121]";"[540,1241]";"[1241,1241]";0.00;0.00
2;5;5;23;722;2;"[7,9]";"[9,15]";"[540,722]";"[722,722]";0.00;0.00
2;5;5;73;241;2;"[7,39]";"[9,68]";"[200,241]";"[241,241]";0.00;0.00
2;5;6;87;944;2;"[7,89]";"[9,162]";"[866,944]";"[944,944]";0.00;0.00
2;5;6;210;774;2;"[7,102]";"[9,214]";"[768,774]";"[774,774]";0.00;0.00
2;5;6;217;205;2;"[7,109]";"[9,403]";"[97,205]";"[205,205]";0.00;0.00
2;5;6;44;262;2;"[7,41]";"[10,112]";"[142,262]";"[266,262]";0.00;0.00
2;5;6;97;542;2;"[7,99]";"[9,189]";"[234,542]";"[547,542]";0.00;0.00
2;5;6;37;125;2;"[7,17]";"[9,39]";"[80,125]";"[125,125]";0.00;0.00
2;5;6;14;1438;2;"[7,10]";"[10,19]";"[1438,1438]";"[1558,1438]";0.00;0.00
2;5;6;10;63;3;"[7,9,12]";"[8,12,17]";"[47,63,63]";"[71,67,63]";0.00;0.00
2;5;6;10;15;2;"[7,12]";"[9,17]";"[14,15]";"[15,15]";0.00;0.00
2;5;6;66;555;2;"[7,64]";"[9,183]";"[251,555]";"[555,555]";0.00;0.00
