kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
1;20;95;14563;142;3;"[22,6885,7388]";"[100,43018,45381]";"[31,142,142]";"[151,142,142]";401.00;166.00
1;20;95;11514;148;5;"[22,918,8620,8739,8774]";"[98,6252,57195,59923,60028]";"[45,148,145,145,145]";"[171,155,151,148,148]";701.00;372.00
1;20;95;16355;81;4;"[22,7813,8735,9056]";"[99,41404,45726,49775]";"[32,81,81,81]";"[85,82,81,81]";722.00;276.00
1;20;95;14681;138;2;"[22,7040]";"[100,41748]";"[43,138]";"[145,138]";161.00;64.00
1;20;95;14422;121;4;"[22,7880,9473,10114]";"[98,60737,64400,67582]";"[34,120,121,121]";"[129,123,122,121]";961.00;406.00
1;20;95;13631;109;3;"[22,1596,8658]";"[99,8865,50901]";"[60,109,107]";"[114,110,109]";236.00;87.00
1;20;95;9956;105;3;"[22,6098,6663]";"[100,42017,44438]";"[40,103,105]";"[112,107,105]";280.00;145.00
1;20;95;11182;133;2;"[22,8082]";"[98,45387]";"[41,133]";"[147,133]";173.00;69.00
1;20;95;17086;130;2;"[22,8483]";"[98,59978]";"[37,130]";"[135,130]";177.00;87.00
1;20;126;15991;137;4;"[22,6719,7138,7389]";"[128,57522,59506,60510]";"[48,137,137,137]";"[148,143,137,137]";725.00;335.00
1;20;126;7358;139;4;"[22,5420,5671,5922]";"[128,38558,39370,39621]";"[55,139,139,139]";"[153,142,140,139]";457.00;229.00
1;20;126;5356;109;2;"[22,4543]";"[131,30001]";"[45,109]";"[119,109]";91.00;42.00
1;20;126;14687;139;3;"[22,8876,10134]";"[131,88253,95881]";"[58,139,139]";"[153,141,139]";850.00;338.00
1;20;126;15388;131;2;"[22,6155]";"[129,48513]";"[48,131]";"[137,131]";185.00;69.00
1;20;126;2395;140;2;"[22,2252]";"[128,16536]";"[65,140]";"[151,140]";26.00;20.00
1;20;126;5979;114;2;"[22,2663]";"[128,22763]";"[52,114]";"[117,114]";36.00;26.00
1;20;126;10075;165;2;"[22,8064]";"[129,60412]";"[69,165]";"[183,165]";264.00;93.00
1;20;126;2340;118;3;"[22,310,941]";"[130,2960,10176]";"[57,118,118]";"[133,123,118]";9.00;10.00
1;20;126;7457;101;3;"[22,3302,3406]";"[129,31389,31909]";"[31,101,101]";"[111,102,101]";126.00;91.00
1;20;126;3720;120;3;"[22,1639,1728]";"[129,13745,14217]";"[62,120,120]";"[128,120,120]";34.00;32.00
1;20;126;14667;127;3;"[22,4453,8613]";"[129,34640,66056]";"[51,127,127]";"[139,130,127]";446.00;166.00
1;20;126;11727;153;2;"[22,3287]";"[129,24757]";"[52,153]";"[161,153]";57.00;32.00
1;20;126;4544;138;3;"[22,3612,4170]";"[129,23917,26487]";"[60,138,138]";"[155,140,138]";143.00;83.00
1;20;126;15567;121;3;"[22,7573,8202]";"[128,71158,75325]";"[47,121,121]";"[129,123,121]";602.00;255.00
1;20;126;2491;129;3;"[22,1303,1406]";"[129,11858,12210]";"[37,129,129]";"[135,131,129]";25.00;26.00
