kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
3;200;13266;4990;6902;4;"[202,2399,3243,3857]";"[13268,180291,223549,251993]";"[3231,6902,6902,6902]";"[7978,7285,6984,6902]";957.00;1202.00
3;200;13266;5072;8301;4;"[202,2783,3292,3394]";"[13268,176970,197887,201578]";"[3796,8301,8301,8301]";"[9574,8586,8451,8301]";825.00;1057.00
3;200;13266;4853;7016;5;"[202,3066,3611,3719,3738]";"[13268,237340,276567,282919,283777]";"[3336,7016,7016,7016,7016]";"[8349,7358,7105,7081,7016]";1616.00;2032.00
3;200;13266;7149;5607;6;"[202,3841,4815,5099,5315,5368]";"[13268,321173,369832,384064,397035,398860]";"[2355,5607,5607,5607,5607,5607]";"[6885,6027,5847,5743,5647,5607]";3148.00;3610.00
3;200;13266;4889;7267;7;"[202,3440,3727,3869,3937,4036,4085]";"[13269,253603,271593,278097,281381,284770,286035]";"[3603,7267,7267,7267,7267,7267,7267]";"[8507,7641,7439,7314,7292,7289,7267]";2581.00;3181.00
3;200;13266;5759;6218;6;"[202,3359,4013,4372,4381,4400]";"[13268,242373,280958,298632,298874,299425]";"[2527,6218,6218,6218,6218,6218]";"[7264,6587,6328,6248,6238,6218]";2280.00;2724.00
3;200;13266;6132;6413;5;"[202,3939,4571,4728,4747]";"[13269,292288,323580,327829,328228]";"[2360,6413,6413,6413,6413]";"[7685,6687,6472,6423,6413]";2066.00;2428.00
3;200;13266;5060;6098;7;"[202,2618,3118,3453,3609,3627,3646]";"[13269,182125,213185,229156,235310,235878,236406]";"[2424,6098,6098,6098,6098,6098,6098]";"[6943,6513,6272,6226,6138,6098,6098]";2082.00;2537.00
3;200;13266;5993;6609;5;"[202,3759,4649,4843,4962]";"[13269,287662,335283,344272,349297]";"[2739,6609,6609,6609,6609]";"[7484,7033,6733,6619,6609]";2176.00;2535.00
3;200;13266;5864;6509;6;"[202,3998,4862,4926,4930,5029]";"[13269,312851,354185,356058,356178,360764]";"[3299,6509,6509,6509,6509,6509]";"[7516,7002,6575,6529,6518,6509]";2901.00;3409.00
3;200;13266;6144;6661;4;"[202,3478,4039,4305]";"[13268,245470,278683,289283]";"[3412,6661,6661,6661]";"[7713,7011,6805,6661]";1238.00;1509.00
