kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
1;50;816;29044;339;7;"[52,17060,17982,18970,19389,20062,20376]";"[819,353421,365831,379901,383940,390154,392088]";"[108,339,339,339,339,339,339]";"[380,349,342,341,340,339,339]";10596.00;5088.00
1;50;816;30664;325;7;"[52,14871,15710,17178,17429,19527,20030]";"[821,325698,333684,359351,361861,385148,390201]";"[111,325,325,325,325,325,325]";"[370,340,334,332,330,329,325]";9760.00;4668.00
1;50;816;39833;305;5;"[52,23604,24214,26733,28075]";"[818,505324,510931,544962,555983]";"[94,305,305,305,305]";"[349,315,311,310,305]";11939.00;4616.00
1;50;816;44044;319;6;"[52,26627,28933,30023,30526,30885]";"[819,554433,587636,603887,607848,609472]";"[90,317,319,319,319,319]";"[358,330,328,321,319,319]";19357.00;6508.00
1;50;816;25067;347;6;"[52,15164,18169,19719,20581,21210]";"[819,313909,347881,359627,367604,375463]";"[109,337,347,347,347,347]";"[396,365,356,349,347,347]";8962.00;3945.00
1;50;816;29626;394;4;"[52,18465,24096,25355]";"[818,395978,454495,474442]";"[156,394,394,394]";"[441,410,394,394]";7179.00;2770.00
1;50;816;33797;384;4;"[52,27396,29604,30023]";"[818,543353,564788,566912]";"[113,384,384,384]";"[434,394,386,384]";10681.00;3638.00
1;50;816;35803;322;4;"[52,21271,25684,28203]";"[818,376879,439004,499553]";"[85,322,322,322]";"[362,328,322,322]";8479.00;2769.00
1;50;816;40398;275;6;"[52,21561,30144,32663,33022,35541]";"[820,444332,577500,641715,644301,698312]";"[75,275,275,275,275,275]";"[310,289,281,276,275,275]";20941.00;6584.00
1;50;816;34845;311;4;"[52,23897,27701,29518]";"[819,428215,492595,509445]";"[87,311,311,311]";"[353,326,317,311]";9637.00;3041.00
1;50;816;36188;301;6;"[52,22697,26789,27628,29958,31576]";"[818,416583,489517,496250,517833,528574]";"[117,301,301,301,301,301]";"[337,312,309,302,301,301]";17292.00;5508.00
