kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
3;45;660;994;1561;3;"[47,591,640]";"[664,10005,10932]";"[711,1561,1561]";"[1732,1603,1561]";13.00;16.00
3;45;660;1089;1425;5;"[47,571,838,946,965]";"[662,9909,13792,14221,14458]";"[568,1425,1425,1425,1425]";"[1671,1556,1475,1430,1425]";41.00;53.00
3;45;660;1262;1560;3;"[47,972,995]";"[662,20755,21190]";"[820,1560,1560]";"[1798,1675,1560]";29.00;42.00
3;45;660;1270;1098;4;"[47,678,1082,1102]";"[663,14714,20356,20499]";"[566,1098,1098,1098]";"[1243,1126,1103,1098]";43.00;59.00
3;45;660;1157;1913;3;"[47,569,687]";"[663,9190,9973]";"[831,1913,1913]";"[2263,1921,1913]";12.00;14.00
3;45;660;1156;1750;5;"[47,844,962,971,975]";"[663,14106,16105,16175,16202]";"[1137,1750,1750,1750,1750]";"[1970,1789,1780,1770,1750]";51.00;67.00
3;45;660;824;1400;8;"[47,436,445,449,550,599,618,627]";"[664,7222,7383,7423,9270,9978,10112,10195]";"[456,1400,1400,1400,1400,1400,1400,1400]";"[1591,1470,1460,1450,1428,1410,1410,1400]";39.00;55.00
3;45;660;1554;1395;3;"[47,662,761]";"[664,11327,13379]";"[497,1395,1395]";"[1542,1414,1395]";17.00;21.00
3;45;660;1105;1447;4;"[47,567,684,733]";"[664,8862,10301,11101]";"[700,1447,1447,1447]";"[1622,1519,1471,1447]";20.00;26.00
3;45;660;1620;1119;3;"[47,1170,1368]";"[662,21002,22985]";"[355,1119,1119]";"[1261,1165,1119]";39.00;47.00
3;45;660;1706;1060;6;"[47,813,1120,1268,1367,1386]";"[663,14342,18717,21287,22574,22750]";"[430,1060,1060,1060,1060,1060]";"[1192,1101,1076,1065,1060,1060]";89.00;113.00
3;45;660;1247;1152;8;"[47,640,876,975,1024,1073,1122,1141]";"[663,11819,15264,16545,17104,17638,18052,18192]";"[503,1152,1152,1152,1152,1152,1152,1152]";"[1463,1290,1193,1190,1188,1188,1187,1152]";97.00;140.00
3;45;660;1008;1540;5;"[47,573,740,789,793]";"[662,8128,9798,10208,10240]";"[710,1540,1540,1540,1540]";"[1773,1608,1562,1560,1540]";28.00;35.00
3;45;660;935;1601;3;"[47,675,694]";"[663,10891,11217]";"[671,1601,1601]";"[1934,1761,1601]";15.00;17.00
3;45;660;1083;1501;3;"[47,691,862]";"[664,10776,12189]";"[763,1501,1501]";"[1695,1523,1501]";17.00;18.00
3;45;660;1226;1729;4;"[47,727,925,1023]";"[662,11506,16394,17978]";"[1011,1729,1729,1729]";"[1960,1748,1743,1729]";36.00;45.00
3;45;660;1297;2150;6;"[47,640,807,955,1054,1073]";"[662,14234,16642,18274,18693,18788]";"[922,2150,2150,2150,2150,2150]";"[2378,2255,2230,2202,2195,2150]";69.00;93.00
3;45;660;688;1767;3;"[47,441,473]";"[663,7702,7962]";"[766,1767,1767]";"[1949,1792,1767]";9.00;11.00
3;45;660;906;2699;2;"[47,801]";"[662,12688]";"[1400,2699]";"[2924,2699]";9.00;9.00
3;45;660;919;1521;5;"[47,340,664,726,843]";"[662,5799,9906,10310,12907]";"[733,1521,1521,1521,1521]";"[1749,1666,1641,1620,1521]";27.00;34.00
3;45;660;1182;1260;4;"[47,691,961,1015]";"[664,8149,11680,12301]";"[500,1260,1260,1260]";"[1682,1406,1272,1260]";25.00;31.00
