kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
2;250;15562;2886;7543;8;"[252,1333,1517,1568,1605,1624,1643,1652]";"[15565,108616,121032,124667,127532,128964,130572,131243]";"[4409,7543,7543,7543,7543,7543,7543,7543]";"[8443,7883,7743,7658,7588,7588,7573,7543]";1156.00;1580.00
2;250;15562;4336;4094;7;"[252,1917,2354,2459,2483,2530,2553]";"[15566,151657,179477,188827,190913,195028,197022]";"[1968,4094,4094,4094,4094,4094,4094]";"[4496,4216,4122,4108,4104,4102,4094]";1512.00;1996.00
2;250;15562;16792;99897;5;"[252,6307,8197,9134,9407]";"[15567,555990,677864,755016,783524]";"[53104,99897,99897,99897,99897]";"[112347,106667,102397,100482,99897]";4634.00;5323.00
2;250;15562;1175;3561;6;"[252,627,738,755,762,769]";"[15565,46587,53946,55107,55586,56048]";"[2216,3561,3561,3561,3561,3561]";"[3857,3641,3589,3569,3565,3561]";291.00;442.00
2;250;15562;18023;81378;7;"[252,8625,11344,12264,12649,12664,12733]";"[15565,630703,759954,794839,808287,808716,810861]";"[46366,81378,81378,81378,81378,81378,81378]";"[89808,84957,83553,82356,81558,81393,81378]";9197.00;9305.00
2;250;15562;7458;22461;6;"[252,3831,4441,4850,4853,4876]";"[15565,240069,266757,290550,290639,291212]";"[8664,22221,22461,22461,22461,22461]";"[25197,23265,22793,22521,22481,22461]";2141.00;2579.00
2;250;15562;12792;92664;6;"[252,4928,6475,7061,7108,7490]";"[15565,378329,470268,497114,498288,506306]";"[50253,92664,92664,92664,92664,92664]";"[100824,97296,94920,93144,93090,92664]";3916.00;4548.00
2;250;15562;1182;370;12;"[252,598,691,736,766,786,796,801,806,811,816,821]";"[15566,48199,55041,58051,60032,61191,61863,62096,62332,62597,62840,63096]";"[203,370,370,370,370,370,370,370,370,370,370,370]";"[438,409,392,384,376,374,372,371,371,371,371,370]";771.00;1126.00
2;250;15562;2876;14039;3;"[252,1264,1548]";"[15568,84149,100819]";"[9935,14039,14039]";"[14780,14072,14039]";207.00;315.00
2;250;15562;4410;2828;7;"[252,2244,2612,2944,3072,3316,3340]";"[15566,188190,210506,227570,232138,242698,243594]";"[1509,2828,2828,2828,2828,2828,2828]";"[3252,3164,3056,2956,2902,2834,2828]";2144.00;2596.00
2;250;15562;2836;18192;4;"[252,1385,1525,1549]";"[15565,105201,114287,115464]";"[13056,18192,18192,18192]";"[19200,18356,18240,18192]";394.00;582.00
2;250;15562;665;1308;5;"[252,453,490,501,505]";"[15565,31445,33815,34332,34481]";"[492,1308,1308,1308,1308]";"[1446,1362,1326,1317,1308]";138.00;197.00
2;250;15562;8864;10356;8;"[252,3470,4430,5070,5246,5348,5446,5470]";"[15566,294481,357551,400143,410025,415363,420913,422361]";"[6008,10356,10356,10356,10356,10356,10356,10356]";"[11530,11012,10696,10434,10386,10384,10374,10356]";4572.00;5322.00
2;250;15562;1116;2459;7;"[252,654,702,728,729,733,744]";"[15568,45322,47976,49285,49342,49580,50389]";"[945,2459,2459,2459,2459,2459,2459]";"[2825,2549,2495,2471,2465,2463,2459]";313.00;478.00
2;250;15562;3746;19274;6;"[252,2002,2332,2446,2534,2578]";"[15567,144220,162418,167494,171550,176112]";"[11250,19274,19274,19274,19274,19274]";"[21924,20349,19654,19479,19279,19274]";1158.00;1529.00
